seed,lam,split,theta,FR,TTDef,SupPct,F1
45,0.0001,val,0.05,0.0,0.0,60.38328409194946,0.8695652173913043
45,0.0001,val,0.1,0.0,0.0,60.38328409194946,1.0
45,0.0001,val,0.15,0.0,0.0,60.38328409194946,1.0
45,0.0001,val,0.2,0.0,0.0,60.38328409194946,1.0
45,0.0001,val,0.3,0.0,0.025173611111111115,60.38328409194946,1.0
45,0.0001,val,0.5,0.0,0.2977430555555556,60.38328409194946,1.0
45,0.0001,test,0.05,0.0,0.0,60.93418598175049,0.8664259927797834
45,0.0001,test,0.1,0.0,0.0008680555555555556,60.93418598175049,1.0
45,0.0001,test,0.15,0.0,0.0017361111111111112,60.93418598175049,1.0
45,0.0001,test,0.2,0.0,0.005208333333333333,60.93418598175049,1.0
45,0.0001,test,0.3,0.0,0.036458333333333336,60.93418598175049,1.0
45,0.0001,test,0.5,0.0,0.3151041666666667,60.93418598175049,1.0
45,0.0005,val,0.05,0.0,0.0,79.1399598121643,0.8695652173913043
45,0.0005,val,0.1,0.0,0.0,79.1399598121643,1.0
45,0.0005,val,0.15,0.0,0.0,79.1399598121643,1.0
45,0.0005,val,0.2,0.0,0.0,79.1399598121643,1.0
45,0.0005,val,0.3,0.0,0.03298611111111111,79.1399598121643,1.0
45,0.0005,val,0.5,0.0,0.32378472222222227,79.1399598121643,1.0
45,0.0005,test,0.05,0.0,0.0,79.31263446807861,0.8664259927797834
45,0.0005,test,0.1,0.0,0.005208333333333333,79.31263446807861,1.0
45,0.0005,test,0.15,0.0,0.005208333333333333,79.31263446807861,1.0
45,0.0005,test,0.2,0.0,0.005208333333333333,79.31263446807861,1.0
45,0.0005,test,0.3,0.0,0.026041666666666668,79.31263446807861,1.0
45,0.0005,test,0.5,0.0,0.3272569444444445,79.31263446807861,1.0
45,0.001,val,0.05,0.0,0.0,84.7288966178894,0.8695652173913043
45,0.001,val,0.1,0.0,0.0017361111111111112,84.7288966178894,0.97165991902834
45,0.001,val,0.15,0.0,0.0017361111111111112,84.7288966178894,0.995850622406639
45,0.001,val,0.2,0.0,0.004340277777777778,84.7288966178894,1.0
45,0.001,val,0.3,0.0,0.026909722222222224,84.7288966178894,1.0
45,0.001,val,0.5,0.0,0.22916666666666666,84.7288966178894,1.0
45,0.001,test,0.05,0.0,0.0,84.74655151367188,0.8664259927797834
