tau_delta,tau_h,fr_val,ttdef_val,skip_pct,feasible,seed
0.039061,0.05,0.0,0.1259,61.03,False,42
0.039061,0.08,0.0,0.138,61.71,False,42
0.039061,0.1,0.0,0.1554,66.07,False,42
0.039061,0.12,0.0,0.1745,71.29,False,42
0.039061,0.15,0.0,0.1892,73.35,False,42
0.039061,0.18,0.0,0.1892,74.95,False,42
0.039061,0.2,0.0,0.1918,75.91,False,42
0.039061,0.25,0.0,0.1988,77.98,False,42
0.039061,0.3,0.0,0.204,79.28,False,42
0.039061,0.35,0.0,0.2283,80.38,False,42
0.039061,0.4,0.0,0.2318,81.1,False,42
0.039061,0.5,0.0,0.2283,82.84,False,42
0.039061,0.7,0.0,0.2101,85.94,False,42
0.042537,0.05,0.0,0.1797,63.01,False,42
0.042537,0.08,0.0,0.197,63.72,False,42
0.042537,0.1,0.0,0.2214,68.11,False,42
0.042537,0.12,0.0,0.2448,73.62,False,42
0.042537,0.15,0.0,0.2509,75.38,False,42
0.042537,0.18,0.0,0.2509,77.26,False,42
0.042537,0.2,0.0,0.2587,78.16,False,42
0.042537,0.25,0.0,0.2656,80.19,False,42
0.042537,0.3,0.0,0.2726,81.48,False,42
0.042537,0.35,0.0,0.2821,82.46,False,42
0.042537,0.4,0.0,0.2856,83.25,False,42
0.042537,0.5,0.0,0.2821,85.08,False,42
0.042537,0.7,0.0,0.2665,88.18,False,42
0.046799,0.05,0.0083,0.3328,65.21,False,42
0.046799,0.08,0.0083,0.3503,65.93,False,42
0.046799,0.1,0.0083,0.3792,70.55,False,42
0.046799,0.12,0.0083,0.3993,75.95,False,42
0.046799,0.15,0.0083,0.4055,77.84,False,42
0.046799,0.18,0.0083,0.4072,79.63,False,42
0.046799,0.2,0.0083,0.4081,80.42,False,42
0.046799,0.25,0.0083,0.4212,82.45,False,42
0.046799,0.3,0.0083,0.4379,83.78,False,42
0.046799,0.35,0.0083,0.4431,84.68,False,42
0.046799,0.4,0.0083,0.4466,85.32,False,42
0.046799,0.5,0.0083,0.444,87.33,False,42
0.046799,0.7,0.0083,0.4282,90.28,False,42
0.015102,0.05,0.0,0.0234,28.95,True,43
0.015102,0.08,0.0,0.0234,29.37,True,43
0.015102,0.1,0.0,0.0234,29.59,True,43
0.015102,0.12,0.0,0.0243,29.87,True,43
0.015102,0.15,0.0,0.0252,30.96,True,43
