seed,dur_frames,dur_s,method,compute_rate,target_rate,budget_diff,match_mode,SupPct,FSonset,FSonsetSimple,FR,TTDef,F1,valid
47,22,2.292,AF-TOI+MHEG (frozen),0.5035,0.5035,0.0,frozen,49.65,0.0856,0.2098,0.0,0.4627,0.7879,True
47,22,2.292,Baseline+MHEG (matched),0.4947,0.5035,0.0176,tau_h,50.53,0.0814,0.1818,0.0,0.2795,0.3893,True
47,31,3.229,AF-TOI+MHEG (frozen),0.4864,0.4864,0.0,frozen,51.36,0.0542,0.1364,0.0,0.2839,0.6667,True
47,31,3.229,Baseline+MHEG (matched),0.485,0.4864,0.003,tau_h,51.5,0.0681,0.1735,0.0,0.1944,0.75,True
47,42,4.375,AF-TOI+MHEG (frozen),0.4736,0.4736,0.0,frozen,52.64,0.0319,0.075,0.0,0.23,0.75,True
47,42,4.375,Baseline+MHEG (matched),0.4828,0.4736,0.0195,tau_h,51.72,0.0472,0.1061,0.0,0.3359,0.914,True
47,50,5.208,AF-TOI+MHEG (frozen),0.4591,0.4591,0.0,frozen,54.09,0.025,0.0424,0.0,0.171,0.8293,True
47,50,5.208,Baseline+MHEG (matched),0.4589,0.4591,0.0004,tau_h,54.11,0.0583,0.1295,0.0,0.3845,1.0,True
48,2,0.208,AF-TOI+MHEG (frozen),0.486,0.486,0.0,frozen,51.4,0.0686,0.4102,0.0,0.6408,0.1679,True
48,2,0.208,Baseline+MHEG (matched),0.4771,0.486,0.0184,tau_h,52.29,0.0714,0.4018,0.0924,2.0336,0.0,True
48,6,0.625,AF-TOI+MHEG (frozen),0.4875,0.4875,0.0,frozen,51.25,0.0229,0.3333,0.0,0.6762,0.1538,True
48,6,0.625,Baseline+MHEG (matched),0.4911,0.4875,0.0073,tau_h,50.89,0.0271,0.3394,0.0,0.8898,0.0645,True
48,10,1.042,AF-TOI+MHEG (frozen),0.4876,0.4876,0.0,frozen,51.24,0.0364,0.2735,0.0,0.6094,0.1955,True
48,10,1.042,Baseline+MHEG (matched),0.4793,0.4876,0.017,tau_h,52.07,0.0503,0.2871,0.0,0.6762,0.1395,True
48,14,1.458,AF-TOI+MHEG (frozen),0.486,0.486,0.0,frozen,51.4,0.0514,0.2356,0.0,0.5781,0.1818,True
48,14,1.458,Baseline+MHEG (matched),0.4866,0.486,0.0012,tau_h,51.34,0.1139,0.3053,0.0,0.4931,0.1818,True
48,18,1.875,AF-TOI+MHEG (frozen),0.4864,0.4864,0.0,frozen,51.36,0.05,0.1871,0.0,0.4896,0.1679,True
48,18,1.875,Baseline+MHEG (matched),0.4934,0.4864,0.0144,tau_h,50.66,0.1069,0.2765,0.0,0.4288,0.1818,True
48,22,2.292,AF-TOI+MHEG (frozen),0.4813,0.4813,0.0,frozen,51.87,0.0611,0.1644,0.0,0.4731,0.1395,True
48,22,2.292,Baseline+MHEG (matched),0.4836,0.4813,0.0049,tau_h,51.64,0.1361,0.2795,0.0,0.434,0.3217,True
48,31,3.229,AF-TOI+MHEG (frozen),0.4768,0.4768,0.0,frozen,52.32,0.0528,0.103,0.0,0.3924,0.2353,True
48,31,3.229,Baseline+MHEG (matched),0.4696,0.4768,0.0151,tau_h,53.04,0.0819,0.172,0.0083,0.3766,0.6441,True
48,42,4.375,AF-TOI+MHEG (frozen),0.4589,0.4589,0.0,frozen,54.11,0.0681,0.0886,0.0,0.3845,0.6286,True
48,42,4.375,Baseline+MHEG (matched),0.4577,0.4589,0.0025,tau_h,54.23,0.1153,0.1386,0.05,0.818,0.8732,True
48,50,5.208,AF-TOI+MHEG (frozen),0.4534,0.4534,0.0,frozen,54.66,0.05,0.0621,0.0,0.342,0.7302,True
48,50,5.208,Baseline+MHEG (matched),0.4463,0.4534,0.0156,tau_h,55.37,0.0722,0.1038,0.1083,1.3111,0.9189,True
